iter	MultiClass
0	1.054332916
1	1.017709168
2	0.9881897588
3	0.9633502088
4	0.9397688654
5	0.9206028846
6	0.9050299261
7	0.8875140824
8	0.8714242107
9	0.8587419323
10	0.8476336234
11	0.8374756006
12	0.8292403357
13	0.8210709706
14	0.8132111279
15	0.8063890292
16	0.8005969696
17	0.7950655487
18	0.7891475741
19	0.7858899538
20	0.7822098435
21	0.7780894413
22	0.7749519722
23	0.7730984939
24	0.7689692769
25	0.7663590536
26	0.7626252544
27	0.7592345603
28	0.7569287102
29	0.755086577
30	0.7533232538
31	0.7489533661
32	0.7474891565
33	0.7474787711
34	0.7453036229
35	0.7422222378
36	0.7401481563
37	0.7384822807
38	0.736704985
39	0.7354452883
40	0.7339007076
41	0.7317561331
42	0.7300981926
43	0.7288938007
44	0.7265568704
45	0.725337922
46	0.7242842573
47	0.7233752914
48	0.7216112466
49	0.72000028
50	0.7189992119
51	0.7179999118
52	0.7170164492
53	0.7153106557
54	0.7137385952
55	0.7130322506
56	0.7121403151
57	0.7112746326
58	0.709268127
59	0.707809447
60	0.707789246
61	0.7062971688
62	0.7050789821
63	0.7038433168
64	0.7019130258
65	0.7006715605
66	0.699852416
67	0.698263577
68	0.6974500172
69	0.696468269
70	0.694944961
71	0.6924576087
72	0.6910524363
73	0.6882603562
74	0.6874646875
75	0.6859386554
76	0.6852374584
77	0.6830874901
78	0.6810385805
79	0.6800283533
80	0.6790388947
81	0.677589574
82	0.6761271437
83	0.6748405841
84	0.6739497723
85	0.6729995842
86	0.6716145187
87	0.6697784842
88	0.6682150466
89	0.667701235
90	0.6658738936
91	0.6648401657
92	0.6639317889
93	0.6629952336
94	0.6619501505
95	0.6611233565
96	0.6597526679
97	0.6576613575
98	0.6564048936
99	0.6556608774
100	0.6547560328
101	0.653253017
102	0.6522473021
103	0.6510120729
104	0.649556393
105	0.6485874973
106	0.6472895263
107	0.6463774511
108	0.6446390755
109	0.6439992268
110	0.642278968
111	0.6412479018
112	0.6400739293
113	0.6392573031
114	0.6382612541
115	0.6377256416
116	0.6362377984
117	0.6352674551
118	0.6340886603
119	0.6332942969
120	0.6321485571
121	0.6305399404
122	0.6298863993
123	0.6292558007
124	0.6288987362
125	0.6284569859
126	0.6266044555
127	0.6258381597
128	0.6248629471
129	0.6241669436
130	0.6228057073
131	0.6213211881
132	0.6196104396
133	0.6178999138
134	0.6164751866
135	0.6157010443
136	0.6139505102
137	0.6126193431
138	0.6118757064
139	0.6104503281
140	0.6100515219
141	0.6092767383
142	0.6082186139
143	0.6074127322
144	0.6064445536
145	0.6057013166
146	0.6041736399
147	0.6038691007
148	0.6029906962
149	0.6017021816
150	0.6000617397
151	0.5995194287
152	0.5986008117
153	0.5970939803
154	0.596281018
155	0.595730144
156	0.594826496
157	0.5945542596
158	0.5938327392
159	0.5931192334
160	0.5924679753
161	0.591173068
162	0.5908689877
163	0.590286196
164	0.5891745239
165	0.5883211975
166	0.5876316723
167	0.5869733279
168	0.5861986223
169	0.5853349526
170	0.5847776554
171	0.5840163242
172	0.5833166615
173	0.5826892544
174	0.5824322819
175	0.581077297
176	0.5804210101
177	0.5798944269
178	0.5792212579
179	0.5788849839
180	0.5784862144
181	0.5781690044
182	0.5771293703
183	0.5757326436
184	0.5753236008
185	0.5746228238
186	0.5742516732
187	0.5734477471
188	0.5722661212
189	0.5714780298
190	0.5709575319
191	0.5703399953
192	0.569855345
193	0.5692840886
194	0.5684133877
195	0.5677163665
196	0.5667093382
197	0.5661353031
198	0.5653981085
199	0.5649780949
