iter	Passed	Remaining
0	210	41831
1	243	24139
2	276	18176
3	310	15213
4	345	13473
5	378	12242
6	418	11537
7	459	11037
8	494	10502
9	528	10035
10	561	9652
11	589	9243
12	625	9003
13	660	8772
14	695	8573
15	734	8445
16	774	8331
17	814	8240
18	851	8115
19	887	7991
20	924	7880
21	961	7776
22	1008	7762
23	1049	7696
24	1084	7594
25	1117	7477
26	1160	7436
27	1202	7384
28	1247	7354
29	1294	7333
30	1326	7231
31	1360	7141
32	1392	7047
33	1403	6854
34	1442	6798
35	1479	6738
36	1515	6676
37	1549	6607
38	1585	6546
39	1622	6488
40	1654	6417
41	1687	6349
42	1725	6298
43	1757	6230
44	1793	6178
45	1827	6119
46	1863	6064
47	1895	6002
48	1928	5944
49	1962	5887
50	1997	5836
51	2030	5779
52	2063	5722
53	2096	5668
54	2130	5616
55	2165	5568
56	2199	5516
57	2232	5466
58	2266	5415
59	2309	5388
60	2322	5292
61	2361	5255
62	2401	5222
63	2446	5199
64	2483	5158
65	2516	5109
66	2548	5059
67	2583	5015
68	2616	4967
69	2650	4921
70	2682	4873
71	2716	4830
72	2749	4784
73	2786	4745
74	2822	4703
75	2857	4662
76	2890	4617
77	2923	4572
78	2957	4530
79	2992	4489
80	3024	4443
81	3060	4404
82	3093	4361
83	3129	4322
84	3163	4279
85	3197	4238
86	3229	4195
87	3265	4156
88	3300	4116
89	3335	4077
90	3369	4035
91	3406	3998
92	3448	3967
93	3492	3938
94	3534	3906
95	3574	3872
96	3610	3833
97	3644	3793
98	3677	3751
99	3711	3711
100	3744	3670
101	3777	3629
102	3810	3588
103	3848	3552
104	3880	3511
105	3913	3470
106	3947	3430
107	3985	3394
108	4021	3357
109	4056	3318
110	4089	3279
111	4124	3241
112	4158	3201
113	4191	3162
114	4224	3122
115	4260	3085
116	4294	3046
117	4327	3007
118	4362	2969
119	4399	2932
120	4435	2895
121	4471	2858
122	4505	2820
123	4539	2782
124	4579	2747
125	4620	2713
126	4661	2679
127	4701	2644
128	4735	2606
129	4768	2567
130	4802	2529
131	4837	2492
132	4872	2454
133	4907	2417
134	4941	2379
135	4975	2341
136	5009	2303
137	5043	2265
138	5078	2228
139	5114	2192
140	5147	2154
141	5180	2116
142	5214	2078
143	5251	2042
144	5284	2004
145	5317	1966
146	5350	1929
147	5388	1893
148	5427	1857
149	5463	1821
150	5500	1785
151	5535	1748
152	5568	1710
153	5602	1673
154	5635	1636
155	5670	1599
156	5708	1563
157	5748	1528
158	5799	1495
159	5836	1459
160	5870	1421
161	5902	1384
162	5939	1348
163	5972	1311
164	6005	1273
165	6038	1236
166	6073	1200
167	6108	1163
168	6142	1126
169	6175	1089
170	6208	1052
171	6243	1016
172	6276	979
173	6309	942
174	6343	906
175	6379	869
176	6414	833
177	6453	797
178	6487	761
179	6522	724
180	6555	688
181	6589	651
182	6621	615
183	6656	578
184	6689	542
185	6722	506
186	6757	469
187	6793	433
188	6827	397
189	6867	361
190	6910	325
191	6961	290
192	6994	253
193	7028	217
194	7061	181
195	7096	144
196	7130	108
197	7163	72
198	7197	36
199	7234	0
